name,player_id,discord_id,ar_basics,ar_pro,at_basics,cmd_basics,parkour,at_pro,recon_basics,sl_basics,tactic_basics,infantry_basics,tank_basics,mg_basics,at_basics
Mysliczek,8fb326ab2c8ce0a60e1a4114065281be,285885409450524672,0,0,0,0,0,0,0,1,0,0,0,0,0
Falcon II,47a5e9c5de8b33361ad024a93b8cc633,1211643201115521064,0,0,0,0,0,0,0,0,0,0,0,0,0
Woody Berserker,76561198019295308,346367260505669632,1,0,0,0,0,0,0,0,0,0,1,0,0
★ 𝕖𝕟𝕧𝕪,76561198056246566,1113970094536671254,1,0,0,0,0,0,0,1,0,0,0,1,0
Vrabec 🛦,76561198015045866,548832439884185602,1,0,0,0,0,0,0,1,0,0,0,0,0
Jesse,76561198834392541,432944622554054668,0,0,0,0,0,0,0,0,0,0,0,0,0
BreiBro,76561198315164036,412294227750420491,0,0,0,0,0,0,0,0,0,0,0,0,0
FaisiK,76561198055298361,327513406318051330,1,0,0,0,0,0,0,1,0,0,0,0,0
patrik.ferro,76561198127861130,970434166057472121,0,0,0,0,0,0,0,0,0,0,0,0,0
Ci3O,76561199795016970,524591278990688266,0,0,0,0,0,0,0,1,0,0,0,0,0
Tom Lobotom,76561198144355997,668477627543322624,0,0,0,0,0,0,0,0,0,0,0,0,0
ondrejceo,04dfd85fd0092036a81cf86176a5c5bf,1357826781905686698,0,0,0,0,0,0,0,0,0,0,0,0,0
~ Annie ~,76561199126097499,793203697597415466,0,1,0,0,0,0,0,0,0,0,0,0,0
FildosCZ,76561198147351334,635626657440595979,1,0,0,0,0,0,0,1,0,0,0,1,0
LucanTGCZ,76561198019794044,510792544955793408,0,0,0,0,0,0,0,1,0,0,0,0,0
Trapik,4b33ec872672f664ff26a3cf56b10577,905105095664996394,0,0,0,0,0,0,0,0,0,0,0,0,0
ferin,76561198382078115,382880532926562304,0,0,0,0,0,0,0,0,0,0,0,0,0
ProkopBySeDivil,76561199099974511,421027874124857354,0,0,0,0,0,0,0,1,0,0,0,0,0
Barles,76561199429729322,558431002532249650,0,0,0,0,0,0,0,0,0,0,0,0,0
Priorit,76561198018644473,1376348301540200586,0,1,0,0,0,0,0,1,0,0,0,0,0
Skumi,442be3e985268e1b1dd30660c39143ba,1172892003684601907,0,0,0,0,0,0,0,0,0,0,0,0,0
Satanext,76561198362767034,612740061661888513,1,0,0,0,0,0,0,1,0,0,0,1,0
CzechPointer25,76561198128998806,576109060840095766,1,0,0,0,0,0,0,0,0,0,0,0,0
cardík_Cz,704aeda68b95e8c8911ae206657160b4,1060180916045103244,0,0,0,0,0,0,0,0,0,0,0,0,0
janriedl,79588d06548ff3142525fca1d425c500,882962113881055283,0,0,0,0,0,0,0,1,0,0,0,0,0
Hans,d0bd586fab1310e9fa243f317b90c322,1246045820051259467,1,0,0,0,0,0,0,0,0,0,0,0,0
kuba007cz,76561199008515421,620663331329671178,0,0,0,0,0,0,0,0,0,0,0,0,0
Onman1,76561199709007124,1336774182712639550,0,0,0,0,0,0,0,1,0,0,0,0,0
S3dm1čka,76561199177132366,1217457768403828788,0,0,0,0,0,0,0,0,0,0,0,0,0
HollyRoller.,d8588d9a88af3ef94d3edef9c2c6cd92,1335728091083051121,1,0,0,0,0,0,0,1,0,0,0,0,0
Puntho,76561198420846533,770654770859343883,0,0,0,0,0,0,0,1,0,0,0,0,0
ogmo,7a4a511fc8cb08c5a18c453101d6956d,384719427393945610,0,0,0,0,0,0,0,0,0,0,0,0,0
Drop.sk,43cc331a81bcb8bb70672d59baaca4e1,712724140968378488,1,0,0,0,0,0,0,0,0,0,0,0,0
Jenda_51_cs,76561199004900554,843180542043226132,1,0,0,0,0,0,0,1,0,0,0,0,0
corgon1,76561198812034288,814575955199918132,0,0,0,0,0,0,0,0,0,0,0,0,0
